CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief
Ascidians			*
Ascidians > Stalked			*
Ascidians > Stalked	Solitary		*
Ascidians > Stalked	Colonial		*
Ascidians > Unstalked			*
Ascidians > Unstalked	Solitary		*
Ascidians > Unstalked	Colonial		*
Bacterial mats > Cyanobacteria			*
Bacterial mats > Other			*
Bacterial mats			*
Bryozoa > Hard	Branching		*
Bryozoa > Hard	Encrusting		*
Bryozoa > Hard	Fenestrate		*
Bryozoa > Hard	Massive		*
Bryozoa > Hard			*
Bryozoa > Soft	Dendroid		*
Bryozoa > Soft	Foliaceous		*
Bryozoa > Soft			*
Bryozoa			*
Cnidaria > Colonial anemones	Corallimorphs		*
Cnidaria > Colonial anemones	Zoanthids		*
Cnidaria > Colonial anemones			*
Cnidaria > Corals	Black & Octocorals	Branching (3D)	*
Cnidaria > Corals	Black & Octocorals	Encrusting	*
Cnidaria > Corals	Black & Octocorals	Fan (2D)	*
Cnidaria > Corals	Black & Octocorals	Massive soft corals	*
Cnidaria > Corals	Black & Octocorals	Organ pipe coral (Tubipora)	*
Cnidaria > Corals	Black & Octocorals	Quill (seapen)	*
Cnidaria > Corals	Black & Octocorals	Whip	*
Cnidaria > Corals	Black & Octocorals		*
Cnidaria > Corals	Stony corals	Bottlebrush	*
Cnidaria > Corals	Stony corals	Branching	*
Cnidaria > Corals	Stony corals	Colonial	*
Cnidaria > Corals	Stony corals	Columnar	*
Cnidaria > Corals	Stony corals	Corymbose	*
Cnidaria > Corals	Stony corals	Digitate	*
Cnidaria > Corals	Stony corals	Encrusting	*
Cnidaria > Corals	Stony corals	Foliose / plate	*
Cnidaria > Corals	Stony corals	Massive	*
Cnidaria > Corals	Stony corals	Solitary	*
Cnidaria > Corals	Stony corals	Staghorn	*
Cnidaria > Corals	Stony corals	Sub-massive	*
Cnidaria > Corals	Stony corals	Tabulate	*
Cnidaria > Corals	Stony corals		*
Cnidaria > Corals			*
Cnidaria > Hydrocorals	Branching		*
Cnidaria > Hydrocorals	Submassive / encrusting		*
Cnidaria > Hydrocorals			*
Cnidaria > Hydroids			*
Cnidaria > True anemones	Flytrap		*
Cnidaria > True anemones	Fourlobed		*
Cnidaria > True anemones	Other anemones	Colonial	*
Cnidaria > True anemones	Other anemones	Solitary	*
Cnidaria > True anemones	Other anemones		*
Cnidaria > True anemones			*
Cnidaria > Tube anemones			*
Cnidaria			*
Echinoderms > Feather stars	Stalked crinoids		*
Echinoderms > Feather stars	Unstalked crinoids		*
Echinoderms > Feather stars			*
Echinoderms > Ophiuroids	Basket stars		*
Echinoderms > Ophiuroids	Brittle / snake stars		*
Echinoderms > Ophiuroids			*
Echinoderms > Sea cucumbers	Benthic		*
Echinoderms > Sea cucumbers	Pelagic / swimming		*
Echinoderms > Sea cucumbers			*
Echinoderms > Sea stars			*
Echinoderms > Sea urchins	Irregular urchins		*
Echinoderms > Sea urchins	Regular urchins		*
Echinoderms > Sea urchins			*
Echinoderms			*
General Unknown Biology			*
Macroalgae > Articulated calcareous	Green	Articulated Calcareous Green	*
Macroalgae > Articulated calcareous	Green		*
Macroalgae > Articulated calcareous	Red	Articulated Calcareous Red	*
Macroalgae > Articulated calcareous	Red	Corallina (Erect)	*
Macroalgae > Articulated calcareous	Red		*
Macroalgae > Articulated calcareous			*
Macroalgae > Drift Algae			*
Macroalgae > Encrusting	Brown		*
Macroalgae > Encrusting	Green	Codium spp	*
Macroalgae > Encrusting	Green		*
Macroalgae > Encrusting	Red	Calcareous	*
Macroalgae > Encrusting	Red	Non-calcareous	*
Macroalgae > Encrusting	Red		*
Macroalgae > Encrusting			*
Macroalgae > Erect coarse branching	Brown	Drift	*
Macroalgae > Erect coarse branching	Brown		*
Macroalgae > Erect coarse branching	Green		*
Macroalgae > Erect coarse branching	Red	Foliose	*
Macroalgae > Erect coarse branching	Red		*
Macroalgae > Erect coarse branching			*
Macroalgae > Erect fine branching	Brown	Brown Understory Algae	*
Macroalgae > Erect fine branching	Brown		*
Macroalgae > Erect fine branching	Green		*
Macroalgae > Erect fine branching	Red	Foliose	*
Macroalgae > Erect fine branching	Red		*
Macroalgae > Erect fine branching			*
Macroalgae > Filamentous / filiform	Brown		*
Macroalgae > Filamentous / filiform	Dark Red		*
Macroalgae > Filamentous / filiform	Green		*
Macroalgae > Filamentous / filiform	Mat algae		*
Macroalgae > Filamentous / filiform	Red		*
Macroalgae > Filamentous / filiform	Turfing Algae	Green turf	*
Macroalgae > Filamentous / filiform	Turfing Algae	Red turf	*
Macroalgae > Filamentous / filiform	Turfing Algae		*
Macroalgae > Filamentous / filiform			*
Macroalgae > Globose / saccate	Brown		*
Macroalgae > Globose / saccate	Green		*
Macroalgae > Globose / saccate	Red		*
Macroalgae > Globose / saccate			*
Macroalgae > Laminate	Brown		*
Macroalgae > Laminate	Green		*
Macroalgae > Laminate	Red		*
Macroalgae > Laminate			*
Macroalgae > Large canopy-forming	Brown	Unidentifiable	*
Macroalgae > Large canopy-forming	Brown	Carpoglossum confluens	*
Macroalgae > Large canopy-forming	Brown	Durvillaea potatorum	*
Macroalgae > Large canopy-forming	Brown	Ecklonia radiata	*
Macroalgae > Large canopy-forming	Brown	Lessonia corrugata	*
Macroalgae > Large canopy-forming	Brown	Phyllospora comosa	*
Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa	*
Macroalgae > Large canopy-forming		Unidentifiable	*
Macroalgae > Sheet-like / membraneous	Brown		*
Macroalgae > Sheet-like / membraneous	Green		*
Macroalgae > Sheet-like / membraneous	Red	Foliose	*
Macroalgae > Sheet-like / membraneous	Red		*
Macroalgae > Sheet-like / membraneous			*
Macroalgae 			*
Matrix > Bryozoa / Cnidaria / Creeping Sponge Matrix			*
Matrix > Bryozoa / Cnidaria / Encrusting Sponge Matrix			*
Matrix > Bryozoa / Cnidaria / Sponge Matrix			*
Matrix > Bryozoa / Cnidaria Matrix			*
Matrix > Encrusting/Turfing Algal Matrix			*
Matrix > Mixed Sessile Invertebrate			*
Matrix > Turf/Sediment/Silt matrix			*
Matrix			*
Seagrasses > Elliptical leaves	Halophila spp		*
